threshold,FAR,FRR
0.47738693467336685,0.002593759606517061,0.07704239917269907
0.48140703517587946,0.002276744543498309,0.07911065149948293
0.485427135678392,0.0020846142022748235,0.08014477766287487
0.4894472361809046,0.0019693359975407315,0.08221302998965874
0.49346733668341713,0.0017964186904395943,0.08428128231644261
0.4974874371859297,0.0017003535198278513,0.08583247156153051
0.5015075376884423,0.0015274362127267137,0.08634953464322648
0.5055276381909548,0.0014313710421149709,0.08841778697001035
0.5095477386934674,0.001316092837380879,0.09152016546018614
0.5135678391959799,0.001210421149707962,0.09462254395036195
0.5175879396984925,0.0010663233937903474,0.09927611168562564
0.521608040201005,0.0010182908084844758,0.10031023784901758
0.5256281407035177,0.0009126191208115586,0.10444674250258532
0.5296482412060302,0.0008357669843221642,0.10858324715615306
0.5336683417085428,0.0007397018137104211,0.11271975180972078
0.5376884422110553,0.0006628496772210267,0.11685625646328852
0.5417085427135679,0.0005956040577928067,0.1189245087900724
0.5457286432160804,0.0005475714724869352,0.12099276111685625
0.5497487437185931,0.0005091454042422379,0.12306101344364012
0.5537688442211055,0.000480325853058715,0.12461220268872802
0.5577889447236182,0.00044189978481401786,0.12616339193381593
0.5618090452261306,0.00040347371656932065,0.1282316442605998
0.5658291457286433,0.0003458346142022748,0.1297828335056877
0.5698492462311558,0.00032662158007992623,0.13391933815925544
0.5738693467336684,0.00029780202889640334,0.13495346432264738
0.577889447236181,0.00028819551183522903,0.13857290589451912
0.5819095477386935,0.0002689824777128804,0.14115822130299896
0.5859296482412061,0.0002497694435905318,0.14632885211995864
0.5899497487437186,0.0002113433753458346,0.15046535677352638
0.5939698492462312,0.0001729173071011374,0.15511892450879008
0.5979899497487438,0.0001729173071011374,0.15873836608066183
0.6020100502512563,0.0001537042729787888,0.16339193381592554
0.6060301507537689,0.0001344912388564402,0.16649431230610134
0.6100502512562815,0.0001344912388564402,0.17321613236814892
0.614070351758794,0.0001344912388564402,0.17735263702171664
0.6180904522613067,0.0001056716876729173,0.187693898655636
0.6221105527638191,0.0001056716876729173,0.19286452947259566
0.6261306532663318,9.6065170611743e-05,0.19855222337125128
0.6301507537688442,9.6065170611743e-05,0.20837642192347466
0.6341708542713569,8.64586535505687e-05,0.21613236814891418
0.6381909547738693,8.64586535505687e-05,0.22440537745604963
0.642211055276382,8.64586535505687e-05,0.22905894519131334
0.6462311557788945,8.64586535505687e-05,0.2362978283350569
0.6502512562814071,7.68521364893944e-05,0.24767321613236815
0.6542713567839197,7.68521364893944e-05,0.25232678386763185
0.6582914572864322,4.80325853058715e-05,0.25904860392967943
0.6623115577889448,3.84260682446972e-05,0.2714581178903826
0.6663316582914574,3.84260682446972e-05,0.2828335056876939
0.6703517587939699,3.84260682446972e-05,0.29162357807652534
0.6743718592964825,3.84260682446972e-05,0.3029989658738366
0.678391959798995,3.84260682446972e-05,0.3138572905894519
0.6824120603015076,3.84260682446972e-05,0.31902792140641156
0.6864321608040201,3.84260682446972e-05,0.3262668045501551
0.6904522613065327,3.84260682446972e-05,0.33712512926577043
0.6944723618090454,3.84260682446972e-05,0.344364012409514
0.6984924623115578,2.8819551183522902e-05,0.35263702171664946
0.7025125628140705,2.8819551183522902e-05,0.3634953464322647
0.7065326633165829,2.8819551183522902e-05,0.3717683557394002
0.7105527638190956,2.8819551183522902e-05,0.38521199586349536
0.714572864321608,2.8819551183522902e-05,0.39865563598759046
0.7185929648241207,2.8819551183522902e-05,0.4126163391933816
0.7226130653266332,2.8819551183522902e-05,0.4281282316442606
0.7266331658291458,2.8819551183522902e-05,0.4431230610134436
0.7306532663316583,1.92130341223486e-05,0.4612202688728025
0.734673366834171,1.92130341223486e-05,0.4705274043433299
0.7386934673366834,1.92130341223486e-05,0.483971044467425
0.7427135678391961,1.92130341223486e-05,0.49793174767321613
0.7467336683417085,1.92130341223486e-05,0.5139607032057911
0.7507537688442212,1.92130341223486e-05,0.5268872802481903
0.7547738693467336,1.92130341223486e-05,0.5429162357807652
0.7587939698492463,1.92130341223486e-05,0.5599793174767321
0.762814070351759,1.92130341223486e-05,0.5723888314374354
0.7668341708542714,1.92130341223486e-05,0.5858324715615305
0.7708542713567841,1.92130341223486e-05,0.5982419855222337
0.7748743718592965,1.92130341223486e-05,0.610651499482937
0.7788944723618092,1.92130341223486e-05,0.6251292657704239
0.7829145728643216,1.92130341223486e-05,0.6427094105480868
0.7869346733668343,1.92130341223486e-05,0.6582213029989659
0.7909547738693468,1.92130341223486e-05,0.672699069286453
0.7949748743718594,1.92130341223486e-05,0.6840744570837642
0.7989949748743719,1.92130341223486e-05,0.6970010341261634
0.8030150753768845,9.6065170611743e-06,0.7088934850051706
0.807035175879397,9.6065170611743e-06,0.7218200620475698
0.8110552763819097,9.6065170611743e-06,0.7357807652533609
0.8150753768844221,9.6065170611743e-06,0.749224405377456
0.8190954773869348,9.6065170611743e-06,0.7600827300930714
0.8231155778894472,9.6065170611743e-06,0.7735263702171665
0.8271356783919599,9.6065170611743e-06,0.7869700103412617
0.8311557788944723,9.6065170611743e-06,0.7988624612202688
0.835175879396985,9.6065170611743e-06,0.8086866597724922
0.8391959798994975,9.6065170611743e-06,0.8210961737331954
0.8432160804020101,9.6065170611743e-06,0.8314374353671148
0.8472361809045228,9.6065170611743e-06,0.8386763185108583
0.8512562814070352,9.6065170611743e-06,0.8500517063081696
0.8552763819095479,9.6065170611743e-06,0.8629782833505688
0.8592964824120604,9.6065170611743e-06,0.8707342295760083
0.863316582914573,0.0,0.8815925542916235
0.8673366834170855,0.0,0.8924508790072389
0.8713567839195981,0.0,0.8991726990692864
0.8753768844221106,0.0,0.9084798345398138
0.8793969849246233,0.0,0.9162357807652534
0.8834170854271357,0.0,0.9229576008273009
0.8874371859296484,0.0,0.9307135470527405
