tau,FAR,FRR,metric
-0.2753931556020055,0.9808686659772492,0.0,cosine
-0.2738224446952522,0.9808686659772492,0.0,cosine
-0.2722517337884989,0.9808686659772492,0.000517063081695967,cosine
-0.27068102288174556,0.9808686659772492,0.000517063081695967,cosine
-0.26911031197499224,0.9798345398138573,0.001034126163391934,cosine
-0.26753960106823893,0.9793174767321613,0.001034126163391934,cosine
-0.2659688901614856,0.9782833505687694,0.001034126163391934,cosine
-0.2643981792547323,0.9782833505687694,0.001034126163391934,cosine
-0.262827468347979,0.9777662874870734,0.001034126163391934,cosine
-0.2612567574412257,0.9772492244053774,0.001034126163391934,cosine
-0.25968604653447236,0.9772492244053774,0.001034126163391934,cosine
-0.25811533562771904,0.9772492244053774,0.001034126163391934,cosine
-0.2565446247209658,0.9751809720785936,0.001034126163391934,cosine
-0.25497391381421247,0.9741468459152016,0.001034126163391934,cosine
-0.25340320290745916,0.9731127197518097,0.001034126163391934,cosine
-0.25183249200070584,0.9725956566701137,0.001034126163391934,cosine
-0.25026178109395253,0.9720785935884177,0.001034126163391934,cosine
-0.24869107018719921,0.9720785935884177,0.001034126163391934,cosine
-0.2471203592804459,0.9710444674250258,0.001034126163391934,cosine
-0.2455496483736926,0.9705274043433298,0.001034126163391934,cosine
-0.24397893746693927,0.9705274043433298,0.001034126163391934,cosine
-0.24240822656018596,0.9705274043433298,0.001034126163391934,cosine
-0.24083751565343264,0.9689762150982419,0.001034126163391934,cosine
-0.23926680474667933,0.968459152016546,0.001034126163391934,cosine
-0.23769609383992601,0.967425025853154,0.001034126163391934,cosine
-0.2361253829331727,0.967425025853154,0.001034126163391934,cosine
-0.2345546720264194,0.9669079627714581,0.001034126163391934,cosine
-0.23298396111966607,0.9663908996897621,0.001034126163391934,cosine
-0.23141325021291276,0.9653567735263702,0.001034126163391934,cosine
-0.2298425393061595,0.9643226473629782,0.001034126163391934,cosine
-0.22827182839940618,0.9627714581178903,0.001034126163391934,cosine
-0.22670111749265287,0.9617373319544984,0.001034126163391934,cosine
-0.22513040658589956,0.9607032057911065,0.001034126163391934,cosine
-0.22355969567914624,0.9601861427094105,0.001034126163391934,cosine
-0.22198898477239293,0.9591520165460186,0.001034126163391934,cosine
-0.2204182738656396,0.9591520165460186,0.001034126163391934,cosine
-0.2188475629588863,0.9576008273009308,0.001034126163391934,cosine
-0.21727685205213298,0.9565667011375388,0.001034126163391934,cosine
-0.21570614114537967,0.9555325749741469,0.001034126163391934,cosine
-0.21413543023862636,0.9550155118924509,0.001034126163391934,cosine
-0.21256471933187304,0.9524301964839711,0.001034126163391934,cosine
-0.21099400842511973,0.9513960703205792,0.001034126163391934,cosine
-0.2094232975183664,0.9488107549120993,0.001034126163391934,cosine
-0.2078525866116131,0.9477766287487074,0.001034126163391934,cosine
-0.20628187570485979,0.9472595656670114,0.001034126163391934,cosine
-0.20471116479810647,0.9451913133402275,0.001034126163391934,cosine
-0.2031404538913532,0.9431230610134437,0.001034126163391934,cosine
-0.2015697429845999,0.9395036194415719,0.001034126163391934,cosine
-0.19999903207784658,0.937952430196484,0.001034126163391934,cosine
-0.19842832117109327,0.9369183040330921,0.001034126163391934,cosine
-0.19685761026433996,0.9343329886246122,0.001034126163391934,cosine
-0.19528689935758664,0.9332988624612203,0.0015511892450879006,cosine
-0.19371618845083333,0.9332988624612203,0.0015511892450879006,cosine
-0.19214547754408,0.9317476732161324,0.0015511892450879006,cosine
-0.1905747666373267,0.9286452947259566,0.0015511892450879006,cosine
-0.18900405573057338,0.9276111685625646,0.0015511892450879006,cosine
-0.18743334482382007,0.9260599793174767,0.0015511892450879006,cosine
-0.18586263391706676,0.9239917269906929,0.0015511892450879006,cosine
-0.18429192301031344,0.9234746639089969,0.0015511892450879006,cosine
-0.18272121210356013,0.922440537745605,0.0015511892450879006,cosine
-0.1811505011968068,0.9193381592554292,0.0015511892450879006,cosine
-0.1795797902900535,0.9172699069286453,0.0015511892450879006,cosine
-0.17800907938330018,0.9152016546018614,0.002068252326783868,cosine
-0.17643836847654693,0.9136504653567735,0.002068252326783868,cosine
-0.1748676575697936,0.9126163391933816,0.002068252326783868,cosine
-0.1732969466630403,0.9120992761116856,0.002068252326783868,cosine
-0.17172623575628698,0.9105480868665977,0.002068252326783868,cosine
-0.17015552484953367,0.9100310237849017,0.002068252326783868,cosine
-0.16858481394278035,0.9074457083764219,0.002068252326783868,cosine
-0.16701410303602704,0.9033092037228542,0.002068252326783868,cosine
-0.16544339212927373,0.9017580144777663,0.002068252326783868,cosine
-0.1638726812225204,0.8991726990692864,0.002068252326783868,cosine
-0.1623019703157671,0.8971044467425026,0.002068252326783868,cosine
-0.16073125940901378,0.8950361944157187,0.0025853154084798345,cosine
-0.15916054850226047,0.8924508790072389,0.0025853154084798345,cosine
-0.15758983759550715,0.889865563598759,0.0025853154084798345,cosine
-0.15601912668875384,0.8867631851085832,0.0025853154084798345,cosine
-0.15444841578200053,0.8857290589451913,0.0025853154084798345,cosine
-0.1528777048752472,0.8836608066184074,0.0025853154084798345,cosine
-0.1513069939684939,0.8815925542916235,0.0025853154084798345,cosine
-0.14973628306174064,0.8805584281282316,0.0025853154084798345,cosine
-0.14816557215498732,0.8795243019648397,0.0025853154084798345,cosine
-0.146594861248234,0.8790072388831437,0.0025853154084798345,cosine
-0.1450241503414807,0.8779731127197518,0.0025853154084798345,cosine
-0.14345343943472738,0.8738366080661841,0.0025853154084798345,cosine
-0.14188272852797407,0.8697001034126164,0.0025853154084798345,cosine
-0.14031201762122075,0.8681489141675285,0.0025853154084798345,cosine
-0.13874130671446744,0.8645294725956567,0.0025853154084798345,cosine
-0.13717059580771412,0.8624612202688728,0.0025853154084798345,cosine
-0.1355998849009608,0.8609100310237849,0.0025853154084798345,cosine
-0.1340291739942075,0.8567735263702172,0.0031023784901758012,cosine
-0.13245846308745418,0.8552223371251293,0.0031023784901758012,cosine
-0.13088775218070087,0.8516028955532575,0.0031023784901758012,cosine
-0.12931704127394755,0.8490175801447777,0.0031023784901758012,cosine
-0.12774633036719424,0.8464322647362978,0.0031023784901758012,cosine
-0.12617561946044092,0.843329886246122,0.0031023784901758012,cosine
-0.12460490855368761,0.8412616339193382,0.0031023784901758012,cosine
-0.12303419764693435,0.8386763185108583,0.0036194415718717684,cosine
-0.12146348674018104,0.8355739400206825,0.0036194415718717684,cosine
-0.11989277583342772,0.8335056876938987,0.004136504653567736,cosine
-0.11832206492667441,0.8314374353671148,0.004136504653567736,cosine
-0.1167513540199211,0.828335056876939,0.004136504653567736,cosine
-0.11518064311316778,0.8257497414684591,0.004653567735263702,cosine
-0.11360993220641447,0.8221302998965874,0.005170630816959669,cosine
-0.11203922129966115,0.8190279214064116,0.005170630816959669,cosine
-0.11046851039290784,0.8169596690796277,0.005170630816959669,cosine
-0.10889779948615452,0.8143743536711479,0.005170630816959669,cosine
-0.10732708857940121,0.8097207859358841,0.005170630816959669,cosine
-0.1057563776726479,0.8071354705274043,0.00672182006204757,cosine
-0.10418566676589458,0.8050672182006204,0.007238883143743537,cosine
-0.10261495585914127,0.8014477766287487,0.007238883143743537,cosine
-0.10104424495238795,0.8004136504653567,0.007238883143743537,cosine
-0.09947353404563464,0.7988624612202688,0.007238883143743537,cosine
-0.09790282313888132,0.7942088934850051,0.007238883143743537,cosine
-0.09633211223212806,0.7911065149948294,0.007238883143743537,cosine
-0.09476140132537475,0.7885211995863496,0.007238883143743537,cosine
-0.09319069041862144,0.781282316442606,0.008273009307135471,cosine
-0.09161997951186807,0.7792140641158222,0.008273009307135471,cosine
-0.09004926860511475,0.7755946225439504,0.008273009307135471,cosine
-0.08847855769836144,0.7735263702171665,0.008273009307135471,cosine
-0.08690784679160812,0.7709410548086867,0.008273009307135471,cosine
